Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Story Points,Component,Epic Name,Assignee,Sprint,Labels,Labels,Labels,Labels,Labels
25,24,Sub-task,Calcular número de rondas y nombres legibles,"El total de rondas se deriva del cupo, que ya se validó como potencia de dos.

*Criterios de aceptación:*
- totalRounds = Integer.numberOfTrailingZeros(maxTeams)
- roundName traduce la distancia a la final en nombre legible
- Cubierto por pruebas para cuadros de 2, 4, 8, 16 y 32 equipos",Medium,Done,2,matchpoint,,Josué Herrera,Sprint 4,matchpoint,partidos,,,
26,23,Story,HU-12 Registro de marcador y avance del ganador,"Como MANAGER quiero registrar el marcador y que el ganador avance solo a la siguiente ronda.

*Criterios de aceptación:*
- PATCH /matchpoint/matches/{id}/score registra el marcador
- Partido PENDING sin los dos equipos: 409
- Partido ya PLAYED: 409
- Marcadores negativos: 400
- Empate: 400, porque en eliminación directa siempre hay ganador
- Se actualizan estadísticas de ambos equipos: jugados, ganados, perdidos, puntos a favor y en contra
- El perdedor queda eliminated
- El ganador se mueve al slot (ronda+1, posición/2): local si la posición era par, visitante si impar
- El slot padre pasa a READY cuando reúne a sus dos equipos
- Si era la última ronda, el torneo pasa a FINISHED con championTeam

*Evidencia:* TournamentService.registerScore · advanceWinner · applyStats

*Rúbrica:* 3.3 · RF-28 RF-29 RF-30 · RN-08 RN-09 RN-10",Highest,Done,8,matchpoint,,Josué Herrera,Sprint 4,matchpoint,partidos,RF-28,RF-29,HU-12
27,23,Story,Programación de fecha y hora de partidos,"Como MANAGER quiero fijar cuándo se juega cada partido de mi torneo.

*Criterios de aceptación:*
- PATCH /matchpoint/matches/{id}/schedule fija scheduledAt
- Solo el MANAGER dueño del torneo: 403
- Un partido ya jugado no se reprograma: 409

*Evidencia:* TournamentService.scheduleMatch

*Rúbrica:* 3.3 · RF-27",Medium,Done,3,matchpoint,,Josué Herrera,Sprint 4,matchpoint,partidos,RF-27,,
28,,Epic,"Observabilidad, auditoría y calidad","Estándar de logging de una línea, auditoría de todas las escrituras, manejo global de excepciones y suite de pruebas con umbral de cobertura atado al build.",High,Done,,transversal,Observabilidad y calidad,Josué Herrera,Sprint 5,transversal,calidad,,,
29,28,Story,Estándar de logging de una sola línea,"Como equipo queremos que al disparar una petición se vea de inmediato qué pasó, quién lo hizo y qué SQL se ejecutó.

*Criterios de aceptación:*
- Formato fijo: timestamp | LEVEL | servicio | sub= | logger | event= | msg= | clave=valor
- Nunca se omite un campo; sin usuario autenticado se escribe sub=anonimo
- El sub del JWT se pone en el MDC desde un filtro, una sola vez por servicio
- Toda petición deja línea de entrada y de salida, incluidas las que terminan en 401 y 403
- Un token manipulado muere antes del filtro: ese 401 lo registra LoggingAuthenticationEntryPoint
- El log de nginx usa el mismo formato
- Prohibida la barra vertical dentro de un valor
- Nunca se loguean contraseñas, tokens completos, correos ni teléfonos enteros

*Evidencia:* ApiLoggingFilter · LogEvents · LoggingAccessDeniedHandler · LogEventsTest

*Rúbrica:* RNF-02 RNF-09 RNF-11 · RF-33",Medium,Done,5,transversal,,Josué Herrera,Sprint 5,logging,observabilidad,RF-33,,
30,28,Story,Auditoría de todas las escrituras,"Como dueño de cancha quiero poder demostrar quién reservó y cuándo, porque el conflicto más frecuente es 'yo sí reservé' contra 'nadie reservó'.

*Criterios de aceptación:*
- Cada INSERT, UPDATE y DELETE deja fila en audit_log
- Registra quién (user_sub y user_name del token), qué (entity_name, entity_id, action), cuándo y valores antes/después
- Correos y teléfonos se guardan enmascarados
- audit_log NO tiene FK: el rastro sobrevive al borrado de la fila auditada
- Las pruebas verifican que cada mutación audita y que cada rechazo NO audita

*Evidencia:* AuditService · AuditServiceTest

*Rúbrica:* RF-32 · ADR-008",Medium,Done,5,transversal,,Josué Herrera,Sprint 5,auditoría,RF-32,ADR-008,,
31,28,Story,Manejo global de excepciones y códigos HTTP semánticos,"Como consumidor de la API quiero errores consistentes y con el código correcto.

*Criterios de aceptación:*
- Excepciones propias agrupadas por el código HTTP que significan
- Un único @RestControllerAdvice las traduce: 400, 403, 404, 409 y 503
- Cero try/catch de traducción en controladores y services
- Formato de error uniforme
- Todo rechazo se registra con su event y su status automáticamente

*Evidencia:* GlobalExceptionHandler · BookingExceptions · TournamentExceptions · IntegrationExceptions

*Rúbrica:* 3.3 · RNF-14",Medium,Done,3,transversal,,Josué Herrera,Sprint 5,errores,RNF-14,,,
32,28,Story,Suite de pruebas y umbral de cobertura atado al build,"Como equipo queremos que la cobertura no pueda degradarse en silencio.

*Criterios de aceptación:*
- 214 pruebas: 157 en matchpoint y 57 en users
- Unitarias de service con mockito-kotlin, sin contexto de Spring
- Funcionales de endpoint con @WebMvcTest, MockMvc y spring-security-test
- Pruebas explícitas de 401 sin token y 403 con rol equivocado en los dos servicios
- Cada regla de negocio tiene prueba de aceptación Y prueba de rechazo
- Las pruebas no necesitan AWS ni PostgreSQL: JwtDecoder mockeado y H2 solo en test
- ./gradlew check falla si la cobertura de líneas baja del 100 %
- Exclusiones declaradas en build.gradle.kts, no en un documento aparte

*Evidencia:* build.gradle.kts · jacocoTestCoverageVerification

*Rúbrica:* 1.3 3.5 · RNF-08 · ADR-010",High,Done,8,transversal,,Josué Herrera,Sprint 5,testing,cobertura,RNF-08,ADR-010,
33,,Epic,"Infraestructura, contenedores y gateway","Sistema multicapa contenedorizado: seis servicios, red interna, volúmenes con nombre, healthchecks y un único puerto publicado.",High,Done,,infra,Infraestructura,Josué Herrera,Sprint 5,devops,docker,,,
34,33,Story,Contenedorización con build multi-stage,"Como equipo queremos que el sistema levante en cualquier máquina con Docker, sin JDK, Gradle ni PostgreSQL instalados.

*Criterios de aceptación:*
- Dockerfile multi-stage: se compila con JDK 21 y se ejecuta sobre JRE 21
- La imagen final no lleva código fuente ni Gradle
- Las dependencias se copian antes que src para aprovechar la caché de capas
- Todas las imágenes con versión fija: nunca latest
- docker compose up -d --build levanta los seis servicios
- Funciona en macOS, Linux y Windows con WSL2

*Evidencia:* matchpoint/Dockerfile · users/Dockerfile · docker-compose.yml

*Rúbrica:* 4.2 · RNF-05 RNF-10",High,Done,5,infra,,Josué Herrera,Sprint 5,docker,RNF-10,,,
35,33,Story,Gateway nginx como único punto de entrada,"Como responsable de seguridad quiero un solo puerto abierto en lugar de cinco.

*Criterios de aceptación:*
- ports: aparece UNA sola vez en docker-compose.yml, en nginx
- Los microservicios, las bases y pgAdmin usan expose:
- Enrutamiento por prefijo: /users, /matchpoint, /pgadmin
- Endpoint /health propio del gateway
- access_log a stdout con el mismo formato del estándar del proyecto
- Verificable: curl al puerto interno falla, vía 9090 responde 200

*Evidencia:* nginx/nginx.conf · nginx/proxy_headers.conf

*Rúbrica:* 4.2 · RNF-03 · ADR-009",High,Done,5,infra,,Josué Herrera,Sprint 5,nginx,gateway,RNF-03,ADR-009,
36,33,Story,Base de datos por servicio con healthchecks,"Como arquitectura queremos aislamiento real de datos entre microservicios.

*Criterios de aceptación:*
- Dos contenedores PostgreSQL 16 con credenciales, base y volumen distintos
- Cero FK entre bases, cero JOIN entre dominios
- healthcheck con pg_isready en las dos
- App depende de su base con service_healthy; entre microservicios con service_started
- Logging del motor: log_statement=all, log_duration=on, log_min_duration_statement=0
- Volúmenes con nombre: el dato sobrevive a docker compose down

*Evidencia:* docker-compose.yml

*Rúbrica:* 3.1 4.2 · RNF-04 RNF-06 · ADR-003",Medium,Done,3,infra,,Josué Herrera,Sprint 5,postgres,RNF-04,ADR-003,,
37,33,Story,Explorador de base de datos detrás del gateway,"Como evaluador quiero inspeccionar las dos bases sin que ninguna abra un puerto propio.

*Criterios de aceptación:*
- pgAdmin accesible en /pgadmin/ a través de nginx
- servers.json deja las dos conexiones ya registradas
- pgpass no se versiona: solo se versiona la plantilla .example
- SCRIPT_NAME configurado para funcionar bajo prefijo de ruta

*Evidencia:* pgadmin/servers.json · docker-compose.yml

*Rúbrica:* 4.2",Medium,Done,2,infra,,Josué Herrera,Sprint 5,pgadmin,devops,,,
38,33,Story,Gestión de secretos fuera del repositorio,"Como equipo no queremos ningún secreto versionado.

*Criterios de aceptación:*
- .env, pgadmin/pgpass y el client secret de Cognito están en .gitignore
- Se versionan solo las plantillas .example
- Variables obligatorias con sintaxis :? el stack no arranca si falta un secreto
- git log -p no contiene ninguna clave

*Evidencia:* .gitignore · .env.example

*Rúbrica:* RNF-13",Medium,Done,2,infra,,Josué Herrera,Sprint 5,security,RNF-13,,,
39,,Epic,Documentación y entrega académica,"Entregables de la rúbrica P02: análisis, arquitectura, nube, emprendimiento y sustentación.",High,Done,,docs,Documentación,Josué Herrera,Sprint 6,docs,entrega,,,
40,39,Task,Levantamiento de requerimientos RF y RNF,"33 requerimientos funcionales y 16 no funcionales, cada uno con descripción precisa, prioridad, evidencia en código y estado. Incluye 14 reglas de negocio y la matriz de trazabilidad requerimiento → historia → rama.

*Rúbrica:* 1.1
*Archivo:* entrega/01-analisis/REQUERIMIENTOS.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
41,39,Task,Tabla y detalle de casos de uso,"14 casos de uso con actor, precondiciones, flujo principal, flujos alternativos y postcondición, más el diagrama de casos de uso y la matriz caso de uso × código HTTP.

*Rúbrica:* 1.1
*Archivo:* entrega/01-analisis/CASOS-DE-USO.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
42,39,Task,Documentación del manejo de GitFlow,"Ramas permanentes y temporales, convención de nombres y de commits, ciclo de vida de una historia, explicación de por qué HU-01 a HU-04 aparecen dos veces, reglas de convivencia, comandos de verificación y autocrítica (incluida la identidad de git mal configurada en cinco commits).

*Rúbrica:* 1.2
*Archivo:* entrega/01-analisis/GITFLOW.md",Medium,Done,2,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
43,39,Task,Estrategia y evidencia de pruebas unitarias,"Distribución de las 214 pruebas, regla del par (caso válido e inválido), uso de mocks y stubs, aserciones significativas y explicación de los dos números de cobertura.

*Rúbrica:* 1.3 3.5
*Archivo:* entrega/01-analisis/PRUEBAS-UNITARIAS.md",Medium,Done,2,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
44,39,Task,Registros de decisiones de arquitectura (ADR),"Criterio de priorización con tres factores y once ADR con contexto, decisión, alternativas descartadas, consecuencias y puesta en práctica en el código.

*Rúbrica:* 1.4
*Archivo:* entrega/01-analisis/adr/",Medium,Done,5,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
45,39,Task,Documento de Arquitectura Empresarial,"Recorrido de los seis sub-criterios con evidencia por archivo: modelo de datos, capas, lógica de negocio y errores, calidad del código, pruebas y seguridad.

*Rúbrica:* 3.1 a 3.6
*Archivo:* entrega/03-arquitectura/ARQUITECTURA-EMPRESARIAL.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
46,39,Task,Documento de Computación en la Nube,"Conceptos IaaS/PaaS/SaaS, contenedores frente a máquinas virtuales, ventajas y desventajas del escalamiento vertical y horizontal, evidencia de contenedorización y arquitectura AWS objetivo con costos.

*Rúbrica:* 4.1 4.2 4.3
*Archivo:* entrega/04-nube/COMPUTACION-EN-LA-NUBE.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
47,39,Task,Business Model Canvas,"Los nueve bloques con detalle por segmento, punto de equilibrio, métricas, riesgos y la tabla de qué promesas del canvas ya funcionan en el producto.

*Rúbrica:* 5.1
*Archivo:* entrega/05-emprendimiento/BUSINESS-MODEL-CANVAS.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
48,39,Task,Propuesta tecnológica con innovación,"Factores que condicionaron cada elección, stack justificado, ocho puntos de innovación separados entre implementado y diseñado, hoja de ruta y deuda técnica reconocida.

*Rúbrica:* 5.2
*Archivo:* entrega/05-emprendimiento/PROPUESTA-TECNOLOGICA.md",Medium,Done,2,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
49,39,Task,Planificación financiera a tres años,"Inversión inicial, supuestos declarados, flujo de caja mes a mes del año 1, estado de resultados, punto de equilibrio, indicadores SaaS y análisis de sensibilidad.

*Rúbrica:* 5.3
*Archivo:* entrega/05-emprendimiento/PLAN-FINANCIERO.md",Medium,Done,3,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
50,39,Task,Guion de sustentación y banco de preguntas,"Reparto y tiempos por bloque, guion literal, banco de preguntas por asignatura con respuestas, glosario técnico y preparación para claridad y seguridad.

*Rúbrica:* 6.1 a 6.5
*Archivo:* entrega/06-sustentacion/GUION-SUSTENTACION.md",Medium,Done,2,docs,,Josué Herrera,Sprint 6,docs,entrega,,,
51,39,Task,Colección de Postman de punta a punta,"Colección con siete carpetas que recorren el sistema completo, con aserciones pm.test y encadenamiento automático de identificadores.

*Criterios de aceptación:*
- Carpeta 0: login USER_AUTH de los dos roles, firmado con SECRET_HASH
- Carpetas 1 a 5: perfiles, canchas, reservas, torneo completo e identidad
- Carpeta 6: limpieza para poder volver a ejecutar la colección entera
- Apunta a nginx mediante baseUrl, nunca a puertos internos
- Cubre 200/201/204, 400, 401, 403 por rol, 403 por propiedad, 404, 409 y 503
- Ningún valor secreto versionado

*Evidencia:* postman/matchpoint.postman_collection.json",Medium,Done,3,docs,,Josué Herrera,Sprint 6,postman,demo,,,
52,39,Task,Diagramas del modelo entidad-relación,"Diagramas ER de las dos bases y de la frontera entre microservicios, exportados en SVG y PNG con su fuente Mermaid, más la tabla de cardinalidades en palabras.

*Criterios de aceptación:*
- er-users_db, er-matchpoint_db y frontera-microservicios en .mmd, .svg y .png
- El diagrama coincide con las FK reales creadas por Hibernate, verificable con ERD For Database en pgAdmin

*Evidencia:* docs/MODELO-ER.md · docs/er/",Medium,Done,2,docs,,Josué Herrera,Sprint 6,docs,modelo,,,
53,,Epic,Higiene del repositorio y GitFlow,"Trabajo pendiente de integración: 103 archivos sin commitear, la identidad de git sin configurar y la rama main cinco commits por detrás de develop. Es lo que evalúa el criterio 1.2.",Highest,To Do,,infra,Higiene del repositorio,Josué Herrera,Sprint 6,git,gitflow,,,
